id_podcast;Title;URL;Artist;Views;Duration;Likes;Publish Date;Description
1;Kishore Mahbubani: The Biggest Mistakes of the US, China, and ASEAN | Endgame #196 (Luminaries);https://www.youtube.com/watch?v=jn7Q9ZvXRcI;Gita Wirjawan;256554;PT1H23M38S;6244;2024-08-21T11:30:08Z;Join Endgame's first and biggest conference ever! https://www.endgametownhall.com ---------------------- Join Gita Wirjawan as Singaporean diplomat, founder of the LKY School of Public Policy, and former President of the UN Security Council, Kishore Mahbubani, makes his return to Endgame. In this conversation, Mahbubani explores the intricate dance between Western and Asian geopolitics, unravels the complexities of the UN Security Council, and examines the decline of multilateral institutions—along with how to bring them back. As new conflicts and alliances emerge, what will the future of global geopolitics look like? Recorded on June 27th, 2024. ---------------------- About Luminary: Kishore Mahbubani is a Singaporean diplomat, Founding Dean of LKY School of Public Policy, and Distinguished Fellow at the Asia Research Institute (ARI), National University of Singapore. Previously, he served as the President of the United Nations Security Council (2001 - 2002), Singaporean Ambassador to the UN, as well as Permanent Secretary at the Foreign Ministry of Singapore (1993 - 1998). A philosopher by training and storyteller by nature, Mahbubani has written various books surrounding Asian and Western geopolitics—his latest open-access book, *The Asian 21st Century* (2022), reaching over 3 million downloads. About the Host: Gita Wirjawan is an Indonesian entrepreneur, educator, and Honorary Professor of Politics and International Relations at the School of Politics and International Relations, University of Nottingham. He is also a visiting scholar at The Shorenstein Asia-Pacific Research Center (APARC) at Stanford University (2022—2024) and a fellow at Harvard Kennedy School's Belfer Center for Science and International Affairs. ---------------------- To discuss and explore more of this episode, visit: https://endgame.id/ ---------------------- Episode notes: https://sgpp.me/EGepsnotes ---------------------- 0:00:00 - Intro 0:02:43 - Geopolitical update 0:04:39 - Who is winning from the Ukraine War? 0:08:44 - “The Gaza war is a minus for the United States” 0:19:04 - How to revive multilateral institutions 0:22:35 - Should we rejig the Security Council? 0:27:35 - Paradoxical truth of peace 0:32:17 - Is the US re-experiencing the Soviet Union's fall? 0:36:37 - Has the ‘angry dragon’ just woke up? 0:44:21 - ASEAN’s mistake and magic 0:50:51 - “Taiwan is not an international problem” 0:53:30 - The trouble with the Nine-dash Line 0:58:14 - How to get along with China 1:02:53 - Perspective on QUAD and AUCUS 1:07:20 - The best thing ASEAN can do 1:12:03 - Message for Indonesia’s upcoming presidential term 1:15:12 - The rise of Southeast Asia 1:21:21 - Reject Western pessimism, project Asian optimism
2;Nobel Laureate Turned Entrepreneur - Walter Gilbert | Endgame #194 (Luminaries);https://www.youtube.com/watch?v=2V60nealnhQ;Gita Wirjawan;11061;PT1H44M10S;350;2024-08-08T10:30:07Z;Join Endgame's first and biggest conference ever! https://www.endgametownhall.com ---------------------- Join Gita Wirjawan for an in-depth conversation with Nobel Laureate Walter Gilbert as he shares his extraordinary journey from his early life in Cambridge to his groundbreaking contributions to science. Explore his shift from chemistry to theoretical physics, the pivotal role of technology in his lab experiments, and the critical discoveries that shaped modern genetics. Delve into his entrepreneurial ventures, the ethics of scientific advancements, and his thoughts on the current state of science and society. ---------------------- About Luminary: Walter Gilbert is a renowned American biochemist and 1980 Nobel Laureate in Chemistry, known for his pioneering work in DNA sequencing. He also co-founded biotech companies Biogen, Myriad Genetics, and Paratek Pharmaceuticals. Beyond science, Gilbert is also an accomplished artist, working primarily in photography and visual arts, with his works exhibited in galleries worldwide. About the Host: Gita Wirjawan is an Indonesian entrepreneur, educator, and Honorary Professor of Politics and International Relations at the School of Politics and International Relations, University of Nottingham. He is also a visiting scholar at The Shorenstein Asia-Pacific Research Center (APARC) at Stanford University (2022—2024) and a fellow at Harvard Kennedy School's Belfer Center for Science and International Affairs. ---------------------- To discuss and explore more of this episode, visit https://endgame.id/ ---------------------- Earn a Master of Public Policy degree and be Indonesia's future narrator. More info: admissions@sgpp.ac.id https://admissions.sgpp.ac.id https://wa.me/628111522504 Visit and subscribe: @SGPPIndonesia @Endgame_Clips ---------------------- Timestamps: 00:00 - Intro 03:02 - Early Life of a Nobel Laureate 08:23 - Education Journey 14:59 - Interest Shift from Physics to Biology 33:50 - Early Academic Career 48:19 - DNA Sequencing and Nobel Work 50:00 - How Did He Know that He Would Win The Nobel Prize? 57:40 - Scientist Turned Entrepreneur 1:11:50 - How to Marry Science and Entrepreneurship 1:21:13 - Bioethics and Tech Feudalism 1:25:58 - Politization and Capitalization of Science
3;Chris Miller - US-China Chip War: What Could Go Wrong? | Endgame #183 (Luminaries);https://www.youtube.com/watch?v=lg9_c5wfqcw;Gita Wirjawan;34511;PT56M31S;720;2024-05-08T11:00:06Z;"Join Endgame YouTube Channel Membership! Support us and get early access to our videos + more perks in return: https://sgpp.me/becomemember To discuss and explore more of this episode, visit https://www.endgame.id. ---------------------- Get the “Chip War” book at Periplus bookstore: https://www.periplus.com/p/9781982172008/?utm_source=EG ---------------------- Chris Miller and Gita Wirjawan discuss the technological competition between the US and China, with a focus on the chip industry. The conversation highlights Europe's approach to tech, the impact of the US uniting its allies for military and technological containment of China, and the potential risks of China's response. Finally, they also touch on the importance of creating global stability and security in advancing chip technology as the backbone of modern society. About the Guest: Professor Christopher Miller is an associate professor at the Fletcher School at Tufts University and a nonresident senior fellow at the American Enterprise Institute. He is the author the bestselling book, ""Chip War: The Fight for the World’s Most Critical Technology” (2022) and serves on the Geopolitics Advisory Council at McKinsey & Company. About the Host: Gita Wirjawan is an Indonesian entrepreneur, educator, and Honorary Professor of Politics and International Relations at the School of Politics and International Relations, University of Nottingham. He is also a visiting scholar at The Shorenstein Asia-Pacific Research Center (APARC) at Stanford University (2022—2024) and a fellow at Harvard Kennedy School's Belfer Center for Science and International Affairs. ---------------------- Thank you to The Belfer Center for Science and International Affairs at Harvard Kennedy School for providing support for this episode. Visit the link below to know more about research, ideas, and leadership programs for a more peaceful world: https://www.belfercenter.org/ ------------------ Earn a Master of Public Policy degree and be Indonesia's future narrator. More info: admissions@sgpp.ac.id https://admissions.sgpp.ac.id https://wa.me/628111522504 Visit and subscribe: @SGPPIndonesia @Endgame_Clips ---------------------- Content: 00:00 - Intro 02:51 - Miller's Academic Background 04:05 - 'Chip War' 09:39 - China & Taiwan vs US 29:58 - India & Southeast Asia 35:15 - Europe 40:06 - Energy Efficiency 43:11 - Risk"
4;America vs Everybody: Will The US Win The Chip Race? - Philip Wong | Endgame #182 (Luminaries);https://www.youtube.com/watch?v=Gz_buAN5-Bo;Gita Wirjawan;74132;PT1H27M42S;1643;2024-05-02T10:00:07Z;Join Endgame YouTube Channel Membership! Support us and get early access to our videos + more perks in return: https://sgpp.me/becomemember To discuss and explore more of this episode, visit https://www.endgame.id ---------------------- Chips have been playing a central role in modern societies across the globe. From airplanes to smartphones
5;Pakar Energi Stanford: Solusi Iklim Macet Karena Ini - Jimmy Chen | Endgame #181 (Luminaries);https://www.youtube.com/watch?v=zSR762qOrYk;Gita Wirjawan;37754;PT1H22M31S;766;2024-04-24T10:00:07Z;"Akses tautan di bawah untuk membaca kritik Gita Wirjawan terhadap pendekatan dunia modern dalam pembangunan berkelanjutan: https://aparc.fsi.stanford.edu/publication/paradox-sustainability ---------------------- Jika dunia bisa bergerak sangat gesit dalam mengatasi COVID, mengapa kita tidak bisa melakukan hal yang sama terhadap aksi iklim? Kegelisahan itu dibagi Dr. Jimmy Chen dalam percakapannya dengan Gita Wirjawan. Beliau merupakan pimpinan dari beberapa inisiatif energi berkelanjutan di Precourt Institute for Energy, Stanford University. Beberapa di antaranya adalah StorageX, Stanford Energy Corporate Affiliates (SECA), dan Hydrogen Initiatives. ------------------ Isi Selengkapnya: 0:00:00 - Intro 0:02:17 - Masa Kecil Seorang Saintis 0:05:20 - Generasi Digital vs Manual 0:11:20 - Dari Berkley, MIT, ke Stanford 0:16:04 - 3 Agen Perubahan 0:20:53 - Belajar dari Silicon Valley 0:27:15 - Ada Apa dengan California? 0:32:38 - Ketika Ide Bertemu Uang 0:34:47 - Realisme, Prediksi, Optimisme Iklim 0:46:05 - Masalah Fundamental: Ujung-ujungnya Duit 0:54:08 - Proyeksi Energi Kotor 1:00:10 - Kurang Cekatan, Kita Tenggelam 1:10:50 - 'Climate Deniers' & 'Flat-Earther' 1:12:27 - Harapan dari Hidrogen 1:18:54 - ""It Is Within Our Power to Control"" ------------------ Gabung Langganan Channel Endgame agar kami dapat terus memberikan konten yang berkualitas: https://sgpp.me/becomemember ------------------ Berminat menjadi pemimpin visioner berikutnya? Hubungi SGPP Indonesia di: admissions@sgpp.ac.id https://admissions.sgpp.ac.id https://wa.me/628111522504 Kunjungi dan subscribe: @SGPPIndonesia @Endgame_Clips"
6;John Mearsheimer: What’s Behind Biden’s Blank Check Support for Israel? | Endgame #179 (Luminaries);https://www.youtube.com/watch?v=39_bpaaio1U;Gita Wirjawan;911871;PT1H24M43S;20421;2024-03-21T11:30:06Z;This is the second interview we did with Professor John Mearsheimer on wars and great power politics. Watch the first one here: https://youtu.be/Yl7goPRw_eE In this second interview with American political scientist and international relations scholar John Mearsheimer, we discussed the current status of the war in Ukraine and prospects for resolution, moral issues around Israeli military campaigns in Gaza, deterrence and risks of conflict in the South China Sea, and whether ideology is declining in importance when it comes to international relations. ---------------------- About the host: Gita Wirjawan is an Indonesian entrepreneur, educator, and currently a visiting scholar at The Shorenstein Asia-Pacific Research Center (APARC), Stanford University. Gita has also just been appointed as an Honorary Professor of Politics and International Relations in the School of Politics and International Relations, University of Nottingham, UK. ---------------------- Get “The Israel Lobby” on Periplus bookstore: https://www.periplus.com/p/9780374531508 ----------------------- This episode is shot at The Keller Center in Chicago, home to the future of policy. Learn more about the Harris School of Public Policy at the University of Chicago: https://harris.uchicago.edu/admissions ----------------------- Earn a Master of Public Policy degree and be Indonesia's future narrator. More info: admissions@sgpp.ac.id https://admissions.sgpp.ac.id https://wa.me/628111522504 Visit and subscribe: @SGPPIndonesia ----------------------- Chapters 0:00:00 - Intro 0:01:53 - Why Ukraine is in Big Trouble 0:05:16 - Guns, Troops and Air Power 0:18:28 - Winning the Peace in Ukraine 0:23:37 - ‘The Blob’ 0:29:03 - Israel Lobby 0:35:52 - What Will Iran Do? 0:37:46 - Cleansing the Palestinians 0:42:28 - Containing China 0:50:02 - Conflict in South China Sea 1:02:47 - Is Ideology Dead? 1:08:42 - Tools of Great Powers 1:13:22 - Future of Nuclear Non Proliferation 1:18:28 - Hubris-Humility Index
7;Indonesia Sedang Kehilangan Mata Anginnya - Slamet Rahardjo | Endgame Lyceum Vol. 5;https://www.youtube.com/watch?v=jmbgbWkVa5o;Gita Wirjawan;468020;PT2H14M26S;3981;2024-03-06T10:00:09Z;"Mempersembahkan Lyceum, serial dialektik tatap muka dari Endgame. Tempat kita melepas belenggu-belenggu pemikiran, melempar dan menangkap tanda tanya, serta menemukan dan mencari jawab. Kali kedua hadir di siniar Endgame, Slamet Rahardjo membahas apa itu pustaka, rasa, dan imajinasi, mengapa ketiga hal tersebut penting bagi perkembangan peradaban, serta bagaimana kita dapat mengasah dan merawatnya. Tonton percakapan Slamet Rahardjo dan Gita Wirjawan sebelumnya: https://youtu.be/wMSdeAL-_SE?si=2AF5gZUjPxjjF7LP ----------------------- Pahami Episode Ini Lebih Baik: https://sgpp.me/lyceum5epsnotes ----------------------- Berminat menjadi pemimpin visioner berikutnya? Hubungi SGPP Indonesia di: admissions@sgpp.ac.id https://admissions.sgpp.ac.id https://wa.me/628111522504 Playlist episode ""Endgame"" lainnya: https://www.youtube.com/playlist?list=PL-hh_bKgnJ6E7nT9hEMIOYvegHEoeuezf https://www.youtube.com/playlist?list=PL-hh_bKgnJ6GMirnRoVac4TFpkQb85LqD https://www.youtube.com/playlist?list=PL-hh_bKgnJ6GKWds018OKy75Vw1bcCH_S Kunjungi dan subscribe: @SGPPIndonesia @VisinemaPictures ----------------------- Bagian: 0:00:00 - Sorotan dari Episode Ini 0:01:13 - Pengantar 0:06:17 - Pustaka 0:16:15 - Rasa 0:33:40 - Imajinasi 0:42:29 - Hati dan Jiwa Pertanyaan dari Cendekia Lyceum 0:52:02 - Sains, Teknologi, Komunikasi 1:19:12 - Mengenal Diri 1:28:46 - Pendidikan dan Budaya Baca 1:49:28 - Menumbuhkan dan Merawat Pustaka, Rasa, Imajinasi"
8;Di Mana Titik Tengah Kekuasaan dan Kebebasan Individu? - Klaus Schwab | Endgame #178 (Luminaries);https://www.youtube.com/watch?v=AMnWtNcQM3c;Gita Wirjawan;47338;PT29M52S;1286;2024-02-28T10:00:07Z;"Professor Klaus Schwab, the Founder and Executive Chairman of the World Economic Forum, talks about the future of Southeast Asia’s leadership, geo-economy, and governance. Recorded on September 4th, 2023 as part of ASEAN Business and Investment Summit 2023. ---------------------- About the host: Gita Wirjawan is an Indonesian entrepreneur, educator, and currently a visiting scholar at The Shorenstein Asia-Pacific Research Center (APARC), Stanford University. Gita has also just been appointed as an Honorary Professor of Politics and International Relations in the School of Politics and International Relations, University of Nottingham, UK. ---------------------- Supplementary Readings: https://www.periplus.com/p/9781524758868/?utm_souce=EG https://www.periplus.com/p/9781119756132/?utm_souce=EG ---------------------- Understand this Episode Better: https://sgpp.me/eps178notes ----------------------- SGPP Indonesia Master of Public Policy: admissions@sgpp.ac.id https://admissions.sgpp.ac.id https://wa.me/628111522504 Other ""Endgame"" episode playlists: https://www.youtube.com/playlist?list=PL-hh_bKgnJ6E7nT9hEMIOYvegHEoeuezf https://www.youtube.com/playlist?list=PL-hh_bKgnJ6GMirnRoVac4TFpkQb85LqD https://www.youtube.com/playlist?list=PL-hh_bKgnJ6GKWds018OKy75Vw1bcCH_S Visit and subscribe: @SGPPIndonesia @VisinemaPictures ----------------------- Chapters 00:00 - Intro 02:05 - Leading in a New World 06:20 - ASEAN's Future 12:03 - Fourth Industrial Revolution 19:10 - US-China Rivalry 21:45 - Ideal State"
9;Why Climate Politicization Is Killing Us - Martin Blunt | Endgame #177 (Luminaries);https://www.youtube.com/watch?v=s-9oK_jwuGA;Gita Wirjawan;36443;PT1H34M40S;918;2024-02-21T10:00:12Z;"Imperial College London’s professor, Martin Blunt, talks about the bitter consequences of politicizing the climate issue—that is neglecting the “easy wins” and thus failing to take tangible actions to tackle the crisis. Martin Blunt is a Professor at the Department of Earth Science & Engineering, Imperial College London. He has been teaching at the university since 1999. Prior to that, Martin was an Assistant then Associate Professor of Petroleum Engineering, at Stanford University (1992-1999). ---------------------- Martin's Educational YouTube Channel: @BoffyBlunt ---------------------- About the host: Gita Wirjawan is an Indonesian entrepreneur, educator, and currently a visiting scholar at The Shorenstein Asia-Pacific Research Center (APARC), Stanford University. Gita has also just been appointed as an Honorary Professor of Politics and International Relations in the School of Politics and International Relations, University of Nottingham, UK. ---------------------- Supplementary Readings: https://www.periplus.com/p/9781541757141/?utm_soure=EG&utm_medium=Luminaries https://www.periplus.com/p/9781684811588?utm_source=EG&utm_medium=Gangbusting ---------------------- Get Martin's Books Here: https://www.periplus.com/p/9781786342096/the-imperial-college-lectures-in-petroleum-engineering-volume-2-reservoir-engineering https://www.periplus.com/p/9781107093461/multiphase-flow-in-permeable-media-a-pore-scale-perspective ---------------------- Understand this Episode Better: https://sgpp.me/eps177notes ----------------------- SGPP Indonesia Master of Public Policy: admissions@sgpp.ac.id https://admissions.sgpp.ac.id https://wa.me/628111522504 Other ""Endgame"" episode playlists: https://www.youtube.com/playlist?list=PL-hh_bKgnJ6E7nT9hEMIOYvegHEoeuezf https://www.youtube.com/playlist?list=PL-hh_bKgnJ6GMirnRoVac4TFpkQb85LqD https://www.youtube.com/playlist?list=PL-hh_bKgnJ6GKWds018OKy75Vw1bcCH_S Visit and subscribe: @SGPPIndonesia @VisinemaPictures ----------------------- Chapters 0:00:00 - Intro 0:02:36 - Martin's Heroes: Newton & DaVinci 0:15:39 - 2050 Delusion 0:26:56 - The Easy Wins 0:41:45 - Political & Technological Challenges 0:53:09 - Intellectual Disease & Training 1:10:45 - Exponential vs Incremental 1:23:31 - Popularizing Science"
10;Vijay Prashad: America’s Finger-Wagging Puts Global South in Danger | Endgame #176 (Luminaries);https://www.youtube.com/watch?v=LGM3bo1DVNs;Gita Wirjawan;120999;PT1H50M22S;3077;2024-02-14T10:00:10Z;"Vijay Prashad—Indian historian, journalist, award-winning author, and Executive Director of Tricontinental: Institute for Social Research—talks about how history can teach us about humanity. In this conversation: 00:00:00 - Introduction 00:02:16 - What Hooked Vijay Into Writing 00:17:13 - Everlasting Nakba, Zionism, Resolution 00:40:52 - Ukraine-Palestine Double Standard 00:53:38 - Multipolarity, US' Democracy, De-dollarization 01:18:29 - Global South Leadership 01:39:11 - Africa: Future Economic Giant? This is the final part of The Shifting World Order Series. Recorded on December 12, 2023. ---------------------- Vijay's portrait is from a video of @thinkersforum4149 Youtube: https://www.youtube.com/watch?v=TIhk0EcUi14&t=160s ---------------------- About the host: Gita Wirjawan is an Indonesian entrepreneur, educator, and currently a visiting scholar at The Shorenstein Asia-Pacific Research Center (APARC), Stanford University. Gita is also just appointed as an Honorary Professor of Politics and International Relations in the School of Politics and International Relations, University of Nottingham, UK. ---------------------- Get Vijay's Books Here! www.periplus.com/p/9788193466629?utm_source=EG www.periplus.com/p/9781620977620?utm_source=EG ---------------------- Understand this Episode Better: https://sgpp.me/eps176notes ----------------------- SGPP Indonesia Master of Public Policy: admissions@sgpp.ac.id https://admissions.sgpp.ac.id https://wa.me/628111522504 Other ""Endgame"" episode playlists: https://www.youtube.com/playlist?list=PL-hh_bKgnJ6E7nT9hEMIOYvegHEoeuezf https://www.youtube.com/playlist?list=PL-hh_bKgnJ6GMirnRoVac4TFpkQb85LqD https://www.youtube.com/playlist?list=PL-hh_bKgnJ6GKWds018OKy75Vw1bcCH_S Visit and subscribe: https://youtube.com/@SGPPIndonesia https://youtube.com/@VisinemaPictures"
